Date,SP500,IBM
2021-10-01,4357.0400390625,137.0172119140625
2021-10-04,4300.4599609375,137.7724609375
2021-10-05,4345.72021484375,136.8546905517578
2021-10-06,4363.5498046875,136.09942626953125
2021-10-07,4399.759765625,135.5736083984375
2021-10-08,4391.33984375,136.92160034179688
2021-10-11,4361.18994140625,136.16635131835938
2021-10-12,4350.64990234375,134.29254150390625
2021-10-13,4363.7998046875,134.56979370117188
2021-10-14,4438.259765625,137.08413696289062
2021-10-15,4471.3701171875,138.25047302246094
2021-10-18,4486.4599609375,136.06118774414062
2021-10-19,4519.6298828125,135.73614501953125
2021-10-20,4536.18994140625,135.65965270996094
2021-10-21,4549.77978515625,122.6864242553711
2021-10-22,4544.89990234375,122.25621032714844
2021-10-25,4566.47998046875,122.02677154541016
2021-10-26,4574.7900390625,121.53919982910156
2021-10-27,4551.68017578125,119.66539001464844
2021-10-28,4596.419921875,120.30592346191406
2021-10-29,4605.3798828125,119.59847259521484
2021-11-01,4613.669921875,120.72657775878906
2021-11-02,4630.64990234375,120.63097381591797
2021-11-03,4660.56982421875,121.53919982910156
2021-11-04,4680.06005859375,120.8499984741211
2021-11-05,4697.52978515625,123.61000061035156
2021-11-08,4701.7001953125,124.54000091552734
2021-11-09,4685.25,120.8499984741211
2021-11-10,4646.7099609375,120.22000122070312
2021-11-11,4649.27001953125,120.2699966430664
2021-11-12,4682.85009765625,118.95999908447266
2021-11-15,4682.7998046875,118.87000274658203
2021-11-16,4700.89990234375,118.45999908447266
2021-11-17,4688.669921875,118.05999755859375
2021-11-18,4704.5400390625,116.66000366210938
2021-11-19,4697.9599609375,116.05000305175781
2021-11-22,4682.93994140625,116.47000122070312
2021-11-23,4690.7001953125,116.79000091552734
2021-11-24,4701.4599609375,116.7300033569336
2021-11-26,4594.6201171875,115.80999755859375
2021-11-29,4655.27001953125,118.5
2021-11-30,4567.0,117.0999984741211
2021-12-01,4513.0400390625,116.91999816894531
2021-12-02,4577.10009765625,116.9000015258789
2021-12-03,4538.43017578125,118.83999633789062
